series_index,group_tag,query_tag,label_tag,sample_count
822,3,954,66,2017
823,3,954,90,2017
824,3,748,28,2017
825,3,748,48,2017
826,3,748,53,2017
827,3,748,58,2017
828,3,748,66,2017
829,3,748,90,2017
830,3,304,28,2017
831,3,304,48,2017
832,3,304,53,2017
833,3,304,58,2017
834,3,304,66,2017
835,3,304,90,2017
836,3,1059,28,2017
837,3,1059,48,2017
838,3,1059,53,2017
839,3,1059,58,2017
840,3,1059,66,2017
841,3,1059,90,2017
842,3,827,5,2017
843,3,827,17,2017
844,3,827,25,2017
845,3,827,59,2017
846,3,827,79,2017
847,3,827,102,2017
848,3,1104,5,2017
849,3,1104,17,2017
850,3,1104,25,2017
851,3,1104,59,2017
852,3,1104,79,2017
853,3,1104,102,2017
854,3,385,5,2017
855,3,385,17,2017
856,3,385,25,2017
857,3,385,59,2017
858,3,385,79,2017
859,3,385,102,2017
860,3,189,5,2017
861,3,189,17,2017
862,3,189,25,2017
863,3,189,59,2017
864,3,189,79,2017
865,3,189,102,2017
866,3,82,5,2017
867,3,82,17,2017
868,3,82,25,2017
869,3,82,59,2017
870,3,82,79,2017
871,3,82,102,2017
872,3,1019,5,2017
873,3,1019,17,2017
874,3,1019,25,2017
875,3,1019,59,2017
876,3,1019,79,2017
877,3,1019,102,2017
878,3,985,5,2017
879,3,985,17,2017
880,3,985,25,2017
881,3,985,59,2017
882,3,985,79,2017
883,3,985,102,2017
884,3,814,5,2017
885,3,814,17,2017
886,3,814,25,2017
887,3,814,59,2017
888,3,814,79,2017
889,3,814,102,2017
890,3,720,5,2017
891,3,720,17,2017
892,3,720,25,2017
893,3,720,59,2017
894,3,720,79,2017
895,3,720,102,2017
896,3,866,5,2017
897,3,866,17,2017
898,3,866,25,2017
899,3,866,59,2017
900,3,866,79,2017
901,3,866,102,2017
902,3,1043,5,2017
903,3,1043,17,2017
904,3,1043,25,2017
905,3,1043,59,2017
906,3,1043,79,2017
907,3,1043,102,2017
908,3,1098,5,2017
909,3,1098,17,2017
910,3,1098,25,2017
911,3,1098,59,2017
912,3,1098,79,2017
913,3,1098,102,2017
914,3,201,5,2017
915,3,201,17,2017
916,3,201,25,2017
917,3,201,59,2017
918,3,201,79,2017
919,3,201,102,2017
920,3,237,5,2017
921,3,237,17,2017
922,3,237,25,2017
923,3,237,59,2017
924,3,237,79,2017
925,3,237,102,2017
